State,Year,CandidateVotes,TotalVotes,PartyAffiliation
New Jersey,2008,15935,3482445,OTHER
Florida,2016,4122088,9301820,DEMOCRAT
South Carolina,1996,7693,1161231,OTHER
Utah,1982,1035,530802,LIBERTARIAN
Kentucky,1998,12546,1145414,OTHER
South Carolina,1996,12988,1161231,LIBERTARIAN
Georgia,2004,69051,3220981,LIBERTARIAN
Massachusetts,1994,688,2179945,OTHER
North Dakota,2012,1406,321144,OTHER
Nebraska,1976,163,593310,OTHER
California,1994,3817025,8514089,REPUBLICAN
Washington,2016,1913979,3243317,DEMOCRAT
Maryland,2018,697017,2299889,REPUBLICAN
Oklahoma,2016,980892,1448047,REPUBLICAN
Iowa,2014,26815,1129700,OTHER
Montana,1982,133789,321062,REPUBLICAN
Louisiana,1998,620502,969165,DEMOCRAT
North Carolina,1992,85948,2577891,LIBERTARIAN
Mississippi,2020,709511,1311354,REPUBLICAN
Washington,1982,72297,1368476,OTHER
Vermont,1980,1629,209124,OTHER
Idaho,2010,319953,449530,REPUBLICAN
Alabama,1978,401852,729842,DEMOCRAT
Vermont,2012,207848,292762,OTHER
Delaware,2010,25,307402,OTHER
Minnesota,1976,2214,1912020,OTHER
New Jersey,1976,9185,2771390,OTHER
Florida,2010,2645743,5411106,REPUBLICAN
West Virginia,2018,24231,582911,LIBERTARIAN
Utah,2000,11938,769704,OTHER
Massachusetts,1976,26283,2491255,OTHER
Kentucky,2010,338,1356096,OTHER
South Dakota,2008,237889,380673,DEMOCRAT
South Dakota,1992,108733,334495,REPUBLICAN
Washington,2004,34055,2818651,LIBERTARIAN
Georgia,2016,2135806,3898605,REPUBLICAN
Wyoming,1976,70558,155368,DEMOCRAT
Virginia,1996,2989,2354715,OTHER
Idaho,1980,214439,439647,DEMOCRAT
Louisiana,2016,298008,1997218,REPUBLICAN
Texas,2008,4337469,7912075,REPUBLICAN
Arkansas,2016,661984,1107522,REPUBLICAN
Arizona,2020,23,3355307,OTHER
Virginia,2014,53102,2184473,LIBERTARIAN
Indiana,1994,470799,1543568,DEMOCRAT
Texas,2006,97672,4314663,LIBERTARIAN
Wisconsin,1994,15439,1565628,LIBERTARIAN
New Jersey,2006,5138,2250070,OTHER
Wisconsin,2010,1020958,2171331,DEMOCRAT
Georgia,2020,115039,4952175,LIBERTARIAN
Arizona,1994,600999,1119060,REPUBLICAN
Illinois,2004,3597456,5141520,DEMOCRAT
Ohio,2010,1503297,3815098,DEMOCRAT
Delaware,2008,140595,398134,REPUBLICAN
Alaska,1978,92783,122741,REPUBLICAN
South Carolina,1996,619859,1161231,REPUBLICAN
Utah,2016,26166,1115583,OTHER
Minnesota,2012,2582,2843207,OTHER
South Dakota,1998,95431,262111,REPUBLICAN
Georgia,2020,1617035,4914361,DEMOCRAT
Florida,2018,1028,8190005,OTHER
Iowa,1992,3404,1292494,OTHER
California,2000,58537,10623608,OTHER
Michigan,1976,7281,3490412,OTHER
Louisiana,2016,90856,1997218,REPUBLICAN
California,1976,82739,7470586,OTHER
Missouri,1976,1090067,1914460,REPUBLICAN
Delaware,2006,2671,242972,LIBERTARIAN
Maryland,2000,1230013,1946898,DEMOCRAT
Tennessee,1990,233703,783922,REPUBLICAN
Indiana,1992,35733,2211426,LIBERTARIAN
New York,2012,4420043,7116628,DEMOCRAT
Arizona,2020,8,3355307,OTHER
Wyoming,2012,6176,250700,OTHER
Colorado,1996,41620,1459601,OTHER
Hawaii,2000,84701,345623,REPUBLICAN
Tennessee,1978,466228,1157094,DEMOCRAT
Tennessee,1994,834226,1480391,REPUBLICAN
Washington,2000,64734,2461379,LIBERTARIAN
Arizona,2010,5938,1708484,OTHER
Georgia,1990,1033439,1033439,DEMOCRAT
New Mexico,2018,376998,697012,DEMOCRAT
Connecticut,2010,15,1153115,OTHER
Louisiana,1980,484770,841013,DEMOCRAT
Idaho,1984,105591,406168,DEMOCRAT
Montana,2000,194430,411601,DEMOCRAT
Tennessee,2002,1170,1642432,OTHER
Arkansas,2016,43866,1107522,LIBERTARIAN
Kansas,2004,780863,1129022,REPUBLICAN
Nevada,1986,4899,261932,LIBERTARIAN
Massachusetts,2020,21134,3658005,OTHER
Wisconsin,1976,202,1935183,OTHER
Minnesota,2002,1116697,2254636,REPUBLICAN
Nevada,1992,13154,495887,OTHER
California,1992,122,10782743,OTHER
Alaska,2020,601,354587,OTHER
Michigan,1984,2135,3700938,OTHER
Idaho,2002,132975,408544,DEMOCRAT
Michigan,2020,39217,5479720,OTHER
Kansas,1990,139,786235,OTHER
Missouri,2010,1,1943899,OTHER
Wisconsin,1998,5591,1760836,LIBERTARIAN
Pennsylvania,1976,239,4546353,OTHER
Louisiana,2002,573347,2481629,DEMOCRAT
Connecticut,2018,787685,1386840,DEMOCRAT
Minnesota,2002,45139,2254636,OTHER
Massachusetts,2014,6,2186789,OTHER
Arizona,2016,83,2530730,OTHER
Louisiana,2020,14454,2071543,DEMOCRAT
Minnesota,1978,878,1558376,OTHER
Indiana,1994,17343,1543568,LIBERTARIAN
New York,1986,305412,4484859,OTHER
Rhode Island,2018,231477,376738,DEMOCRAT
Florida,1976,1799518,2857534,DEMOCRAT
Kansas,2020,727962,1367755,REPUBLICAN
Mississippi,1976,554433,554433,DEMOCRAT
Louisiana,2002,638654,2481629,DEMOCRAT
Maryland,1992,1307610,1841298,DEMOCRAT
Missouri,2010,14,1943899,OTHER
Maine,2012,24121,724720,OTHER
Illinois,2014,135316,3603519,LIBERTARIAN
Iowa,1998,648480,947907,REPUBLICAN
New Jersey,2008,15925,3482445,OTHER
South Carolina,1986,465500,737962,DEMOCRAT
Massachusetts,2006,1500738,2243835,DEMOCRAT
Ohio,1992,321234,4793953,OTHER
Tennessee,2020,9598,2959761,OTHER
Louisiana,2004,47222,1848056,DEMOCRAT
Vermont,2018,2244,272624,OTHER
New Hampshire,1998,213477,314696,REPUBLICAN
Texas,2020,209722,11144040,LIBERTARIAN
Maryland,2010,20717,1833858,OTHER
Minnesota,2020,1566522,3214256,DEMOCRAT
Minnesota,2008,1212317,2887646,REPUBLICAN
Colorado,2008,116,2331621,OTHER
Wyoming,2018,136210,203420,REPUBLICAN
South Dakota,1992,4353,334495,LIBERTARIAN
North Dakota,2012,161337,321144,DEMOCRAT
Oregon,2014,24212,1461618,OTHER
Massachusetts,1976,722641,2491255,REPUBLICAN
Tennessee,2014,437848,1374065,DEMOCRAT
Colorado,2010,67,1772286,OTHER
Iowa,1992,1370,1292494,OTHER
New Jersey,2018,1711654,3169310,DEMOCRAT
Illinois,2016,408,5491878,OTHER
Maryland,1980,435118,1286088,DEMOCRAT
Illinois,1998,280,3394521,OTHER
Tennessee,2008,1579477,2424585,REPUBLICAN
California,1980,4704098,8324012,DEMOCRAT
Maryland,2000,113,1946898,OTHER
Alaska,2016,138149,311441,REPUBLICAN
Wyoming,2020,165,278503,OTHER
South Carolina,1990,450,750716,OTHER
Texas,2006,1555202,4314663,DEMOCRAT
South Carolina,2008,1076534,1871431,REPUBLICAN
Georgia,2000,22975,2415743,OTHER
Utah,2006,21526,571252,OTHER
Nevada,2006,238796,582572,DEMOCRAT
Michigan,1988,8908,3505985,OTHER
New York,1982,142275,4967729,OTHER
California,2010,5,10000160,OTHER
Oregon,1990,507743,1099255,DEMOCRAT
Utah,1994,2543,519304,OTHER
New York,1986,7376,4484859,OTHER
New Jersey,1996,1227351,2883466,REPUBLICAN
Georgia,2014,21,2567805,OTHER
Arizona,2018,1191100,2384308,DEMOCRAT
California,2012,4713887,12578511,REPUBLICAN
Alaska,1992,20019,239714,OTHER
Louisiana,2016,11370,1997218,LIBERTARIAN
Montana,1994,218542,350387,REPUBLICAN
Missouri,2010,789736,1943899,DEMOCRAT
Maryland,1982,407334,1114690,REPUBLICAN
Tennessee,2008,9367,2424585,OTHER
Delaware,2012,115700,399606,REPUBLICAN
Vermont,2004,216972,307208,DEMOCRAT
Maine,2006,26222,545128,OTHER
Iowa,1984,564381,1292700,REPUBLICAN
New Jersey,2006,3433,2250070,OTHER
Minnesota,1978,2992,1580622,LIBERTARIAN
Massachusetts,2000,134586,2734048,OTHER
Louisiana,2014,1561210,3523183,DEMOCRAT
Florida,1998,1463755,3900162,REPUBLICAN
Colorado,2010,11330,1772286,OTHER
Arizona,1986,28,862921,OTHER
Virginia,2018,1910370,3351373,DEMOCRAT
Georgia,2020,13318,4914361,OTHER
North Dakota,1976,3824,283062,OTHER
Virginia,1984,601142,2007487,DEMOCRAT
Vermont,1986,1583,196532,OTHER
Hawaii,1992,97928,363662,REPUBLICAN
Missouri,1988,11410,2078875,LIBERTARIAN
Nevada,1994,193804,380530,DEMOCRAT
Missouri,2002,18345,1877620,LIBERTARIAN
Illinois,2010,1778698,3704473,REPUBLICAN
Georgia,1998,918540,1753953,REPUBLICAN
Tennessee,2012,409,2321477,OTHER
Utah,2012,301873,1006901,DEMOCRAT
Wyoming,1976,84810,155368,REPUBLICAN
Connecticut,1988,678454,1383526,REPUBLICAN
Nevada,2004,284640,810068,REPUBLICAN
Louisiana,2002,3866,2481629,OTHER
Indiana,2006,294,1341111,OTHER
Vermont,2012,252,292762,OTHER
Minnesota,2012,13986,2843207,OTHER
Illinois,1978,159,3184764,OTHER
California,1982,4022565,7805450,REPUBLICAN
Connecticut,1982,545987,1083508,REPUBLICAN
Tennessee,2006,3033,1833695,OTHER
Utah,1994,1514,519304,OTHER
Illinois,2010,1719478,3704473,DEMOCRAT
New York,2016,3472,7800725,OTHER
Ohio,1980,76412,4027303,OTHER
Illinois,2010,9,3704473,OTHER
Oregon,1986,656317,1042555,REPUBLICAN
New Jersey,1976,1054508,2771390,REPUBLICAN
Louisiana,2020,2813,2071543,OTHER
Alaska,2016,90825,311441,LIBERTARIAN
Oklahoma,1994,47552,982430,OTHER
Colorado,2004,980668,2107472,REPUBLICAN
Arkansas,1998,187,700831,OTHER
Minnesota,1994,2614,1772929,OTHER
Indiana,2012,3,2560102,OTHER
South Carolina,2004,4245,1597221,OTHER
New Jersey,2018,1357355,3169310,REPUBLICAN
Florida,2004,25,7429894,OTHER
South Carolina,1984,644815,965130,REPUBLICAN
North Dakota,2018,2042,326138,OTHER
Vermont,2018,294,272624,OTHER
South Carolina,2010,21953,1318794,OTHER
Kansas,1992,706246,1126447,REPUBLICAN
Mississippi,1996,13861,878662,OTHER
South Carolina,1984,306982,965130,DEMOCRAT
South Dakota,1996,157954,324487,REPUBLICAN
Louisiana,2004,542150,1848056,DEMOCRAT
Colorado,2014,29472,2041058,OTHER
Kansas,2002,70725,776850,LIBERTARIAN
South Dakota,2014,8474,279412,OTHER
West Virginia,2000,12627,603477,LIBERTARIAN
Kansas,1978,403354,748839,REPUBLICAN
Tennessee,1982,30,1259785,OTHER
North Dakota,1982,8288,262465,OTHER
New York,2016,4784220,7800725,DEMOCRAT
Maine,2008,620,724430,OTHER
Ohio,2012,250616,5449018,OTHER
Utah,1988,430089,640702,REPUBLICAN
Wisconsin,1992,3264,2455124,OTHER
Michigan,2000,5630,4167685,OTHER
Delaware,1996,105088,275591,REPUBLICAN
Nebraska,2020,55115,930012,LIBERTARIAN
Minnesota,2014,47530,1981528,OTHER
Vermont,1986,124123,196532,DEMOCRAT
New York,2006,55469,4700632,OTHER
Oregon,1998,377739,1117747,REPUBLICAN
Illinois,1996,2384028,4250722,DEMOCRAT
Hawaii,2016,6809,437664,LIBERTARIAN
Oregon,1998,8372,1117747,OTHER
Texas,1990,725,3822157,OTHER
South Carolina,2004,5859,1597221,OTHER
Texas,2008,185241,7912075,LIBERTARIAN
Colorado,2016,1215318,2743023,REPUBLICAN
Illinois,2002,1325703,3486851,REPUBLICAN
Oregon,2010,14466,1442588,OTHER
Mississippi,2020,23152,1311354,LIBERTARIAN
Illinois,1980,96,4580029,OTHER
Kentucky,1978,175766,476783,REPUBLICAN
Louisiana,2010,9973,1264994,OTHER
Delaware,2010,8201,307402,OTHER
Nevada,2010,3185,721404,OTHER
Kansas,2004,21842,1129022,LIBERTARIAN
New Jersey,1988,1349937,2987634,REPUBLICAN
West Virginia,2014,2566,453689,OTHER
Arkansas,1984,502341,875956,DEMOCRAT
Vermont,1992,123854,285739,REPUBLICAN
Maryland,1988,999166,1617065,DEMOCRAT
Tennessee,2006,13,1833695,OTHER
Louisiana,2008,18590,1896574,LIBERTARIAN
Pennsylvania,1992,2224966,4802410,DEMOCRAT
Minnesota,1978,72,1580622,OTHER
Nevada,1976,63471,201899,REPUBLICAN
Pennsylvania,1988,11822,4366598,LIBERTARIAN
Vermont,2010,2731,235178,OTHER
Arkansas,2010,143,779957,OTHER
New Jersey,2020,11632,4440440,OTHER
Oregon,1992,12934,1376033,OTHER
California,1992,4093501,10782743,REPUBLICAN
Missouri,1980,1074859,2066965,DEMOCRAT
Utah,1988,203364,640702,DEMOCRAT
Colorado,1998,464754,1327235,DEMOCRAT
Oregon,1980,501963,1140494,DEMOCRAT
Vermont,2006,171638,262419,OTHER
West Virginia,1988,410983,634547,DEMOCRAT
Indiana,2016,1423991,2732546,REPUBLICAN
Tennessee,2008,31631,2424585,OTHER
Hawaii,2012,6599,437159,OTHER
Alabama,1996,681651,1499393,DEMOCRAT
Missouri,2018,27316,2442289,LIBERTARIAN
Pennsylvania,1976,2381891,4546353,REPUBLICAN
Arkansas,2016,400602,1107522,DEMOCRAT
Montana,2014,213709,369826,REPUBLICAN
Montana,2018,14545,504384,LIBERTARIAN
Washington,1976,28182,1491111,OTHER
Wisconsin,2004,8367,2949743,LIBERTARIAN
California,2000,96552,10623608,OTHER
Colorado,2004,18783,2107472,OTHER
Kentucky,2020,9,2135057,OTHER
Missouri,2018,34398,2442289,OTHER
Delaware,2014,130655,234038,DEMOCRAT
Tennessee,2014,5,1374065,OTHER
Oklahoma,1980,1823,1098294,OTHER
Vermont,2000,10079,288500,OTHER
Washington,2004,30304,2818651,OTHER
Alaska,2002,291,229548,OTHER
Texas,1990,2302357,3822157,REPUBLICAN
Vermont,1988,2424,240108,OTHER
Ohio,1986,1171893,3121189,REPUBLICAN
New Jersey,1978,2384,1957515,OTHER
Pennsylvania,1980,27229,4418042,OTHER
Arizona,2020,19,3355307,DEMOCRAT
Maryland,2012,2346,2633234,OTHER
Maine,1982,279819,459715,DEMOCRAT
Iowa,1996,1941,1224054,OTHER
Louisiana,1996,852945,1700102,DEMOCRAT
Oklahoma,1998,4617,859713,OTHER
South Dakota,1992,4314,334495,OTHER
Illinois,1978,1698711,3184764,REPUBLICAN
Michigan,2002,1185545,3129287,REPUBLICAN
Minnesota,1988,44474,2093953,OTHER
New Jersey,2012,3593,3376649,OTHER
Washington,2006,16384,2083734,OTHER
Mississippi,1990,274244,274244,REPUBLICAN
Delaware,1976,646,224795,OTHER
Kansas,2004,15980,1129022,OTHER
Iowa,2004,412365,1479228,DEMOCRAT
Mississippi,2012,503467,1241568,DEMOCRAT
Oklahoma,1980,9757,1098294,LIBERTARIAN
Mississippi,1996,624154,878662,REPUBLICAN
South Carolina,2016,1857,2049893,OTHER
Tennessee,2018,1227483,2243740,REPUBLICAN
North Carolina,2008,1719,4271970,OTHER
Florida,2010,4,5411106,OTHER
Arizona,2016,494,2530730,REPUBLICAN
Iowa,2002,447892,1023075,REPUBLICAN
Nevada,2012,457656,997805,REPUBLICAN
South Dakota,2002,167481,337501,DEMOCRAT
Vermont,2010,72699,235178,REPUBLICAN
Washington,1998,785377,1888561,REPUBLICAN
Georgia,2014,48862,2567805,LIBERTARIAN
Colorado,1984,2208,1297809,OTHER
Tennessee,1996,61,1778664,OTHER
Hawaii,2000,2360,345623,OTHER
New Hampshire,2002,207478,447135,DEMOCRAT
Idaho,1984,7384,406168,LIBERTARIAN
North Carolina,1980,4346,1797665,OTHER
Georgia,1984,44,1681344,OTHER
Oregon,2010,16028,1442588,LIBERTARIAN
New York,1976,6716,6666875,OTHER
New Jersey,2000,5657,3015662,OTHER
Utah,2018,27607,1062845,LIBERTARIAN
New York,1980,4161,6014914,OTHER
Oregon,2004,29582,1780550,LIBERTARIAN
Illinois,1984,4913,4787335,OTHER
Illinois,1986,1053734,3122883,REPUBLICAN
Florida,2012,18,8189946,OTHER
Wyoming,1984,40525,186898,DEMOCRAT
Michigan,2014,1290199,3121771,REPUBLICAN
South Carolina,2014,532,1238982,OTHER
Delaware,1982,653,190960,LIBERTARIAN
Nebraska,1994,260668,579205,REPUBLICAN
Maryland,1992,533688,1841298,REPUBLICAN
South Dakota,2010,227947,227947,REPUBLICAN
New Jersey,2012,1329534,3376649,REPUBLICAN
Georgia,2008,909923,2137956,DEMOCRAT
New Jersey,1990,19978,1938454,OTHER
Wisconsin,1992,16513,2455124,OTHER
Oklahoma,1980,478283,1098294,DEMOCRAT
North Dakota,2016,10556,342501,LIBERTARIAN
Wisconsin,2010,1125999,2171331,REPUBLICAN
New York,1998,1680203,4989877,REPUBLICAN
Alaska,1998,43743,221807,DEMOCRAT
South Carolina,2016,1241609,2049893,REPUBLICAN
Louisiana,2002,171752,2481629,REPUBLICAN
Texas,1978,4018,2312540,OTHER
Wisconsin,1986,2926,1483174,OTHER
New York,2004,216198,7447818,OTHER
Indiana,2004,903913,2428233,REPUBLICAN
Texas,1976,1636370,3874230,REPUBLICAN
Alabama,2002,1350,1353023,OTHER
Oregon,1998,1413,1117747,OTHER
New Hampshire,1990,91299,291393,DEMOCRAT
Alaska,2008,151767,317723,DEMOCRAT
Florida,1986,77,3429996,OTHER
Kansas,2008,25727,1210690,LIBERTARIAN
Missouri,1976,813571,1914460,DEMOCRAT
Texas,2020,81893,11144040,OTHER
Massachusetts,1982,18878,2050769,LIBERTARIAN
Illinois,1992,15118,4939558,OTHER
Arkansas,1978,395506,517138,DEMOCRAT
Maryland,2010,110,1833858,OTHER
Arkansas,1992,553635,920008,DEMOCRAT
Nebraska,1976,58,593310,OTHER
Ohio,2004,1961171,5425823,DEMOCRAT
California,1988,79997,9743598,LIBERTARIAN
Maryland,1976,62750,1365290,OTHER
Wyoming,2014,471,171153,OTHER
Delaware,2000,389,326993,OTHER
Illinois,1992,28,4939558,OTHER
New York,1980,664544,6014914,OTHER
North Dakota,1992,118162,303957,REPUBLICAN
New Hampshire,2020,450778,795914,DEMOCRAT
West Virginia,1982,173910,565314,REPUBLICAN
Maryland,1994,809125,1369101,DEMOCRAT
Texas,2012,3194927,7864822,DEMOCRAT
Virginia,1978,513,1222256,OTHER
North Dakota,1998,75013,213358,REPUBLICAN
Georgia,2000,11875,2415743,OTHER
Alaska,2004,3785,308315,OTHER
Georgia,1998,791904,1753953,DEMOCRAT
Connecticut,2010,45,1153115,OTHER
Washington,2012,1855493,3069417,DEMOCRAT
Maryland,2010,204,1833858,OTHER
Louisiana,1980,13739,841013,REPUBLICAN
Vermont,1992,222,285739,OTHER
Washington,1988,944359,1848542,REPUBLICAN
Pennsylvania,1982,19244,3604108,LIBERTARIAN
Massachusetts,1984,1393150,2530471,DEMOCRAT
Nevada,2018,490071,972132,DEMOCRAT
Maryland,2010,84,1833858,DEMOCRAT
Missouri,2012,4,2725793,OTHER
Hawaii,1994,86320,356902,REPUBLICAN
New Hampshire,2014,1628,488159,OTHER
Mississippi,1978,187541,590236,DEMOCRAT
New Mexico,2014,286409,515506,DEMOCRAT
Illinois,1992,34527,4939558,LIBERTARIAN
New Mexico,1976,176382,413056,DEMOCRAT
Iowa,2014,1111,1129700,OTHER
Virginia,1994,882213,2057463,REPUBLICAN
Colorado,1992,20347,1552289,OTHER
Michigan,2020,13093,5479720,OTHER
Rhode Island,1978,229557,305618,DEMOCRAT
Oregon,1998,7553,1117747,OTHER
Tennessee,2018,2226,2243740,OTHER
California,1998,48685,8311905,OTHER
Oklahoma,2002,65056,1018424,OTHER
Louisiana,1978,1,1,DEMOCRAT
New Jersey,2012,9359,3376649,OTHER
Illinois,2004,81164,5141520,OTHER
New Hampshire,2004,102,657086,OTHER
Florida,2010,13,5411106,OTHER
Vermont,1998,48051,214036,REPUBLICAN
Louisiana,2010,715415,1264994,REPUBLICAN
Iowa,1992,899761,1292494,REPUBLICAN
Louisiana,2016,1151,1997218,OTHER
Virginia,2020,1934199,4405087,REPUBLICAN
Texas,2000,4078954,6267964,REPUBLICAN
Wyoming,2008,183063,249619,REPUBLICAN
Florida,2000,26087,5856731,OTHER
Maine,1976,292704,486193,DEMOCRAT
Florida,2016,37,9301820,OTHER
Ohio,1992,2444419,4793953,DEMOCRAT
New York,2010,2837684,4757635,DEMOCRAT
Michigan,1982,19131,2994334,LIBERTARIAN
Hawaii,2016,306604,437664,DEMOCRAT
Nevada,1982,114720,235097,DEMOCRAT
Oregon,2020,42747,2321249,LIBERTARIAN
Minnesota,2006,835653,2202772,REPUBLICAN
Massachusetts,2000,8452,2734048,OTHER
Idaho,2008,34510,644780,OTHER
Wisconsin,2000,940744,2540083,REPUBLICAN
Texas,2002,1422,4514012,OTHER
California,2010,11,10000160,OTHER
Oklahoma,1978,3355,754264,OTHER
Mississippi,2000,654941,994144,REPUBLICAN
Wisconsin,1980,6502,2204202,OTHER
Louisiana,2004,275821,1848056,DEMOCRAT
Colorado,2004,1750,2107472,OTHER
North Carolina,2020,2665598,5474952,REPUBLICAN
Minnesota,1982,5870,1804675,LIBERTARIAN
Montana,1994,131845,350387,DEMOCRAT
Vermont,2012,2452,292762,OTHER
Tennessee,2012,20936,2321477,OTHER
Louisiana,2008,988298,1896574,DEMOCRAT
New Jersey,1982,3726,2193945,OTHER
Oklahoma,2010,265814,1017151,DEMOCRAT
Indiana,2018,70,2282565,OTHER
Nevada,2016,6888,1108294,OTHER
Maine,2000,437689,634872,REPUBLICAN
Colorado,2010,10,1772286,OTHER
Arkansas,2014,478819,847505,REPUBLICAN
Utah,2000,504803,769704,REPUBLICAN
Delaware,2002,922,232314,LIBERTARIAN
New Jersey,1984,10409,3096456,OTHER
Mississippi,1996,240647,878662,DEMOCRAT
Colorado,2010,5767,1772286,OTHER
Louisiana,2020,1228908,2071543,REPUBLICAN
Alaska,2016,41194,311441,OTHER
Texas,2012,67404,7864822,OTHER
Wisconsin,2004,1301183,2949743,REPUBLICAN
Michigan,2012,48,4652918,OTHER
Illinois,2010,117914,3704473,OTHER
New York,2012,1514647,7116628,REPUBLICAN
Missouri,2010,58663,1943899,LIBERTARIAN
Illinois,2008,3615844,5329884,DEMOCRAT
Minnesota,1994,95400,1772929,OTHER
Tennessee,2000,10004,1928613,OTHER
California,1998,82918,8311905,OTHER
Minnesota,2018,66236,2596879,OTHER
Missouri,2016,21,2802637,OTHER
South Carolina,2004,857167,1597221,REPUBLICAN
Nevada,2000,10286,600776,OTHER
Arkansas,1984,373615,875956,REPUBLICAN
Tennessee,1976,1061,1432046,OTHER
Arizona,2000,109230,1397076,OTHER
Vermont,1982,84449,168002,REPUBLICAN
Utah,1998,163172,494909,DEMOCRAT
Florida,2004,27,7429894,OTHER
Illinois,2014,1929637,3603519,DEMOCRAT
Maryland,2004,24816,2321931,OTHER
Pennsylvania,2004,2334126,5559105,DEMOCRAT
Ohio,2012,2435712,5449018,REPUBLICAN
Nebraska,2000,353093,692350,DEMOCRAT
South Carolina,1998,563377,1069063,DEMOCRAT
Washington,2012,1213924,3069417,REPUBLICAN
New York,1976,16350,6666875,OTHER
Maryland,2010,80,1833858,OTHER
Illinois,2008,24059,5329884,OTHER
Florida,2004,119,7429894,OTHER
Georgia,2010,996516,2555258,DEMOCRAT
Idaho,1980,6507,439647,LIBERTARIAN
Wisconsin,2010,23473,2171331,OTHER
Vermont,1994,1416,211672,OTHER
Delaware,1990,112918,180157,DEMOCRAT
Indiana,1986,5914,1545563,OTHER
Oklahoma,2008,55708,1346819,OTHER
New Jersey,1982,1830,2193945,OTHER
California,1992,5173467,10799703,DEMOCRAT
Ohio,1980,1137695,4027303,REPUBLICAN
Idaho,2002,9354,408544,LIBERTARIAN
Tennessee,2018,1927,2243740,OTHER
Georgia,1996,1103993,2259224,DEMOCRAT
Iowa,1996,571807,1224054,REPUBLICAN
California,2016,7542753,12244170,DEMOCRAT
New York,2004,14811,7447818,OTHER
Oklahoma,2014,557002,820890,REPUBLICAN
Montana,2020,333174,605637,REPUBLICAN
Idaho,1998,262966,378174,REPUBLICAN
Colorado,1992,23,1552289,LIBERTARIAN
New York,1976,10943,6666875,LIBERTARIAN
New York,1976,184083,6666875,OTHER
Arkansas,1986,262313,695487,REPUBLICAN
Oklahoma,1996,8691,1183150,OTHER
Maine,2020,9122,828305,OTHER
Idaho,1990,122295,315936,DEMOCRAT
Oregon,1996,624370,1360230,DEMOCRAT
Maine,2014,269,616996,OTHER
Connecticut,2018,6618,1386840,OTHER
Louisiana,2010,13957,1264994,LIBERTARIAN
Utah,2006,177459,571252,DEMOCRAT
New Jersey,2008,9187,3482445,OTHER
Michigan,1988,4877,3505985,OTHER
Connecticut,1998,6517,964457,OTHER
Alaska,1986,79727,180801,DEMOCRAT
Oklahoma,2002,369789,1018424,DEMOCRAT
Oregon,1996,14193,1360230,OTHER
Alaska,2020,191112,354587,REPUBLICAN
Ohio,1988,1872716,4352905,REPUBLICAN
West Virginia,2000,469215,603477,DEMOCRAT
Nevada,2010,5811,721404,OTHER
Mississippi,2014,13938,631858,OTHER
Oklahoma,2010,718482,1017151,REPUBLICAN
New York,1988,189226,6040980,OTHER
Nevada,1988,175548,342407,DEMOCRAT
Utah,1998,316652,494909,REPUBLICAN
Mississippi,1978,133646,590236,OTHER
Idaho,2010,112057,449530,DEMOCRAT
Missouri,2016,1300200,2802637,DEMOCRAT
Washington,1976,1071219,1491111,DEMOCRAT
Michigan,1982,1728793,2994334,DEMOCRAT
Connecticut,2016,552621,1596276,REPUBLICAN
Wyoming,2008,60631,250007,DEMOCRAT
Illinois,2010,561,3704473,OTHER
South Dakota,1998,162884,262111,DEMOCRAT
North Dakota,1988,171899,289170,DEMOCRAT
Minnesota,1982,3300,1804675,OTHER
Oklahoma,2016,43421,1448047,LIBERTARIAN
Iowa,2014,494370,1129700,DEMOCRAT
Michigan,2018,16502,4237271,OTHER
Massachusetts,2014,791950,2186789,REPUBLICAN
Nevada,2000,1579,600776,OTHER
Rhode Island,1976,167665,398906,DEMOCRAT
West Virginia,1982,4234,565314,OTHER
New Hampshire,1992,4752,518170,OTHER
Alaska,2002,2354,229548,LIBERTARIAN
New Hampshire,1996,242257,491873,REPUBLICAN
Georgia,1978,536320,645128,DEMOCRAT
Florida,2016,10,9301820,OTHER
Colorado,1990,11801,1022027,OTHER
South Carolina,2008,4276,1871431,OTHER
West Virginia,2014,156360,453689,DEMOCRAT
West Virginia,2008,447560,702308,DEMOCRAT
Louisiana,2002,23553,2481629,DEMOCRAT
Florida,2012,2,8189946,OTHER
Louisiana,2010,4043,1264994,OTHER
New Mexico,2000,225517,589526,REPUBLICAN
Florida,2010,2,5411106,OTHER
Vermont,1980,122,209124,OTHER
Oklahoma,1984,280638,1197937,REPUBLICAN
Indiana,1986,936143,1545563,REPUBLICAN
Minnesota,1990,29820,1808045,OTHER
Vermont,1986,2963,196532,OTHER
Idaho,2008,9958,644780,LIBERTARIAN
Maine,1996,298422,606777,REPUBLICAN
Ohio,2006,830,4019236,OTHER
Idaho,2016,449017,678943,REPUBLICAN
Minnesota,1996,4321,2182905,OTHER
Virginia,1984,1406194,2007487,REPUBLICAN
New Mexico,2018,212813,697012,REPUBLICAN
Nevada,2012,45277,997805,OTHER
Michigan,2020,5,5479720,OTHER
Minnesota,2002,1790,2254636,OTHER
Wisconsin,1986,754573,1483174,REPUBLICAN
Vermont,2016,309,320467,OTHER
Minnesota,1976,478602,1912020,REPUBLICAN
New Hampshire,2010,167545,454710,DEMOCRAT
Indiana,2010,99,1744481,OTHER
Vermont,2012,877,292762,OTHER
Kentucky,1996,8595,1307046,LIBERTARIAN
North Dakota,1992,179347,303957,DEMOCRAT
